64,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0039,SK MENGGONG,JALAN MACHAP HUTAN PERCHA,ALOR GAJAH,78000,065568845,065568840
65,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0040,SK HUTAN PERCHA,FELDA HUTAN PERCHA,ALOR GAJAH,78000,065548546,065548546
66,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0041,SK DURIAN TUNGGAL,DURIAN TUNGGAL,"DURIAN TUNGGAL",76100,065531193,065531545
67,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0042,SK KEM TERENDAK II,KEM TERENDAK,KEM TERENDAK,76200,063572052,063572898
68,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0043,SK GANGSA,DURIAN TUNGGAL,ALOR GAJAH,76100,065533997,065532209
69,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0044,SK LESONG BATU,LESONG BATU,ALOR GAJAH,78000,065560490,065560843
70,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0045,SEKOLAH KEBANGSAAN DEMANG TAHA,MASJID TANAH,MASJID TANAH,78300,063847200,063847202
71,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBB0041,SK ALOR GAJAH 1,ALOR GAJAH,ALOR GAJAH,78000,065561221,065561223
72,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBB0042,SK DATO' NANING,JALAN BESAR ALOR GAJAH,ALOR GAJAH,78000,065561299,065561299
73,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBB0043,SK DATUK TAMBICHIK KARIM,MASJID TANAH,MASJID TANAH,78300,063841237,063852472
74,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBB0044,SK SRI LAKSAMANA,"JALAN  SRI LAKSAMANA, MASJID TANAH",MASJID TANAH,78300,063841366,063844009
75,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBE0045,SK KEM TERENDAK 1,KEM TERENDAK,MELAKA,76200,063573793,063573793
76,MELAKA,PPD ALOR GAJAH,Kebangsaan,MCT0001,"SEKOLAH RENDAH ARAB (JAIM) AL-FALAH","BATU 28, KUALA SG. BARU",KUALA SG. BARU,78200,063877736,063877736
77,MELAKA,PPD ALOR GAJAH,Kebangsaan,MCT0002,"SEKOLAH RENDAH ARAB JAIM JELATANG","JALAN SUTERA 11, TAMAN SUTERA",ALOR GAJAH,78000,065567160,065567160
78,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1032,SJK(C) KUANG HWA,"BATU 9,         UMBAI",MERLIMAU,77300,062619808,062619808
79,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1033,SJK(C) YU HSIEN,JALAN RIM,JASIN,77000,065291270,065291270
80,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1034,SJK(C) CHUNG HWA,SUNGAI RAMBAI,SUNGAI RAMBAI,77400,062659563,062659563
81,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1035,SJK(C) KIOW NAM,BATANG MELAKA,SELANDAR,77500,064461397,064461397
82,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1036,SJK(C) PAY MIN,KG. BATU GAJAH PASIR,MERLIMAU,77300,062658616,062658616
83,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1037,SJK(C) MERLIMAU,"JALAN MELAKA,",MERLIMAU,77300,062631267,062631267
84,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1038,SJK(C) CHIAO CHEE,JALAN JASIN,SELANDAR,77500,065251470,065251470
85,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1039,SJK(C) JASIN LALANG,"BT 15  , AIR MERBAU",JASIN,77200,065217248,065217248
86,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1040,SJK(C) PAY CHIAO,BEMBAN,MELAKA,77200,065216426,065216426
87,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1041,SJK(C) ON LOK,KG BARU ON LOK,SELANDAR,77500,064461977,064461977
88,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1042,SJK(C) PAY YAP,KESANG PAJAK,JASIN,77000,065292109,065292109
89,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1043,SJK(C) PAY CHUIN,"BT 21 BUKIT KATONG, RIM",JASIN,77000,065296023,065296023
90,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1044,SJK(C) PARIT KELILING,KAMPUNG BARU PARIT KELILING,JASIN,77100,065235189,065235189
