70,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8008,SK KG KOTA BUKIT,JENERI,JENIANG,08700,044620307,TIADA
71,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8009,SK SERI AMPANG MUDA,KAMPUNG BELANTIK,SIK,08210,047520240,047520240
72,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8010,SK CHEMARA,KG  CHEMARA,JENIANG,08700,044647176,044647176
73,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8011,SK KALAI,KAMPUNG KALAI,JENIANG,08700,044620564,TIADA
74,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8012,SK PAYA TERENDAM,JALAN GULAU,SIK,08200,044694053,044694053
75,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8013,SK PADANG CHICHAK,"JENERI, JENIANG",GURUN,08700,044626689,044626689
76,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8014,SK SIK,PEKAN SIK,SIK,08200,044695434,044695434
77,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8015,SK BANDAR BARU BERIS JAYA,"BANDAR BARU BERIS JAYA,",JENIANG,08700,044697001,044697002
78,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8016,SK TELOI TUA,BATU LIMA,SIK,08200,044620264,044620014
79,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8017,SK DANGLAU,KG KUBANG KESOM,SIK,08210,047510019,047510019
80,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8018,SK SIK DALAM,"SIK DALAM,",SIK,08200,044622823,TIADA
81,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8019,SK KOTA AUR,KOTA AUR,SIK,08210,047520409,047520409
82,KEDAH,PPD BALING/SIK,Kebangsaan,KBA8020,SK Batu 8,Kg Charok Sejuk,Sik,08200,044620015,044620032
83,KEDAH,PPD BALING/SIK,Kebangsaan,KBB0033,SK BATU PEKAKA,"JALAN MERBAU PULAS,",KUALA KETIL,09300,044430535,044430553
84,KEDAH,PPD BALING/SIK,Kebangsaan,KBB0034,SK TUNKU PUTERA,JALAN PEGAWAI,BALING,09100,044701240,044701240
85,KEDAH,PPD BALING/SIK,Kebangsaan,KBE8017,SK SERI DUSUN,JALAN MELATI,SIK,08200,044620314,044620314
86,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2109,SJK(C) BOON HWA,ALOR JANGGUS,ALOR SETAR,06250,047343493,047343493
