BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
45,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEE5171,SMK DATO' SAGOR,JALAN KAMPAR,LANGKAP,36700,056591968,056596696
46,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEE5173,SMK KHIR JOHARI,"BATU 17, JALAN BAGAN DATOH",SUNGAI SUMUN,36300,056489218,056489943
47,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEE5174,SMK TUN ABD RAZAK,"BATU 23, SELEKOH",SELEKOH,36200,056489235,056486109
48,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEE5175,SMK SERI MUARA,JALAN SIMPANG EMPAT -BAGAN DATOH,BAGAN DATOH,36100,056466216,056467889
49,PERAK,PPD HULU PERAK,SM agama,AFT7001,SMA TAN SRI GHAZALI JAWI,JALAN AIR SUDA,GERIK,33300,057921953,057921953
50,PERAK,PPD HULU PERAK,SM Kebangsaan,AEA7001,SMK TAN SRI ABDUL AZIZ,JLN. ALANG ISKANDAR,LENGGONG,33400,057691111,057691112
51,PERAK,PPD HULU PERAK,SM Kebangsaan,AEA7002,SMK BERSIA (FELDA),FELDA BERSIA,GERIK,33320,057911526,057912452
52,PERAK,PPD HULU PERAK,SM Kebangsaan,AEA7003,SMK SULTAN AZLAN SHAH,KAMPUNG CHANGKAT BERANGAN,LENGGONG,33400,057691210,057691212
53,PERAK,PPD HULU PERAK,SM Kebangsaan,AEA7004,SMK DATO SERI WAN MOHAMED,KG PLANG,GERIK,33310,057915644,057913380
54,PERAK,PPD HULU PERAK,SM Kebangsaan,AEA7005,SMK KENERING,KG LAWIN,GERIK,33300,057911821,057912391
55,PERAK,PPD HULU PERAK,SM Kebangsaan,AEA7006,SMK GERIK,JALAN KUALA KENDERONG,GERIK,33300,057912300,057912400
56,PERAK,PPD HULU PERAK,SM Kebangsaan,AEA7007,SMK PENGKALAN HULU,JALAN KOMPLEKS GURU,"PENGKALAN HULU",33100,044770744,044778900
57,PERAK,PPD HULU PERAK,SM Kebangsaan,AEA7008,SMK BATU 4,JALAN KUALA RUI,GERIK,33300,057914201,057911676
58,PERAK,PPD HULU PERAK,SM Kebangsaan,AEA7009,SMK SERI BUDIMAN,JALAN BUKIT NASAH,GERIK,33300,057918007,057918006
59,PERAK,PPD HULU PERAK,SM Kebangsaan,AEE7031,SMK DATO AHMAD,JALAN ALANG ISKANDAR,LENGGONG,33400,057691260,057691261
60,PERAK,PPD HULU PERAK,SM Kebangsaan,AEE7032,SMK SULTAN IDRIS SHAH II,KAMPUNG AIR PANAS,GERIK,33300,057911393,057917214
61,PERAK,PPD HULU PERAK,SM Kebangsaan,AEE7033,SMK TUN SABAN,JALAN TASEK,"PENGKALAN HULU",33100,044778245,044778673
62,PERAK,PPD HULU PERAK,SM Vokasional,AHA7001,SM VOKASIONAL GERIK,"KM 4, JALAN KUALA RUI",GERIK,33300,057916288,057916588
63,PERAK,PPD KINTA SELATAN,"SM Berasrama Penuh",ARA2001,SBP INTEGRASI GOPENG,JALAN KOTA BHARU,GOPENG,31600,053597688,053591788
64,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEA2042,SMK SRI KAMPAR,JALAN ISKANDAR,KAMPAR,31900,054661359,054659155
65,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEA2064,SMK SENTOSA,TAMAN BANDAR BARU,KAMPAR,31900,054671220,054671221
66,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEA2303,SMK SERI TEJA,BT 1  JLN KOTA BHARU,GOPENG,31600,053591264,053595845
67,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEB2063,SMK SULTAN YUSSUF,JALAN ILMU,BATU GAJAH,31000,053633203,053669271
68,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEB2064,SMK ST. BERNADETTE'S CONVENT,JALAN PUSING,BATU GAJAH,31000,053661577,053666426
69,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEB2065,SMK YUK KWAN,9 JALAN KELAB,BATU GAJAH,31000,053661451,053666679
70,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEB2068,SMK PEI YUAN,NO 9 JALAN KUALA DIPANG,KAMPAR,31900,054661542,054660907
71,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEB2069,SMK KAMPAR,NO.1 JLN KUALA DIPANG,KAMPAR,31900,054651335,054651335
72,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEE2066,SMK TOH INDERA WANGSA AHMAD,JALAN TANJUNG TUALANG,BATU GAJAH,31007,053661440,053669885
73,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEE2067,SMK METHODIST (ACS),"18, JLN KUALA DIPANG",KAMPAR,31900,054651330,054660564
74,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEE2070,SMK IDRIS SHAH,KOPISAN BARU,GOPENG,31600,053591314,053591314
75,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEE2072,SMK DATO' BENDAHARA C M YUSUF,JALAN KAMPAR,"TANJONG TUALANG",31800,053609219,053609219
76,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEE2073,SMK TRONOH,SMK TRONOH,TRONOH,31750,053676218,053678621
77,PERAK,PPD KINTA SELATAN,SM Kebangsaan,AEE2074,SMK MALIM NAWAR,JALAN BESAR MALIM NAWAR,MALIM NAWAR,31700,054771382,054771382
78,PERAK,PPD KINTA UTARA,Kolej,AHA2001,KOLEJ VOKASIONAL LEBUH CATOR,LEBUH CATOR,IPOH,30450,052549151,052530997
79,PERAK,PPD KINTA UTARA,SM agama,AFT2001,MAAHAD AL-IMAM ASY SYAFIEE,JELAPANG,IPOH,30020,055281277,055281275
80,PERAK,PPD KINTA UTARA,SM agama,AFT2002,SABK MAAHAD AL-UMMAH,JALAN JELAPANG,CHEMOR,31200,052012727,052012357
81,PERAK,PPD KINTA UTARA,"SM Berasrama Penuh",AEB2050,SEKOLAH TUANKU ABDUL RAHMAN,JALAN SULTAN AZLAN SHAH,IPOH,31400,055457733,055467000
82,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2041,SMK RAJA  CHULAN,JALAN DAIRY,IPOH,31400,055457082,055456289
83,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2043,SMK JALAN PASIR PUTEH,JALAN PASIR PUTEH,IPOH,31650,052530520,052557442
84,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2044,SMK GUNUNG RAPAT,JLN TEOH KIM SWEE,IPOH,31350,053122855,053132067
85,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2045,SMK RAJA PERMAISURI BAINUN,"JALAN INTAN, KAMPUNG DATO' AHMAD SAID",IPOH,30020,055267522,055265334
86,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2046,SMK DATO' HJ. MOHD TAIB,JALAN SEKOLAH,CHEMOR,31200,052011808,052014029
87,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2047,SMK SERI KELEDANG,PERSIARAN KELEDANG TIMUR 2,MENGLEMBU,31450,052813240,052823433
88,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2048,SMK KG. DATO' AHMAD SAID,LEBUH RAJAWALI,IPOH,30020,055270020,050266441
89,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2049,SMK KG PASIR PUTEH,JALAN PENGKALAN BARAT 18,IPOH,31650,053225150,053221615
90,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2050,SMK SERI AMPANG,JALAN GUNUNG RAPAT,IPOH,31350,053130929,053130929
