BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
77,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1020,SK KUALA JENGAL,KAMPUNG KUALA JENGAL,DUNGUN,23000,098333131,098333132
78,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1021,SK JONGOK BATU,KAMPUNG JONGOK BATU,DUNGUN,23000,098333505,098333659
79,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1022,SK PASIR RAJA,KG. PASIR RAJA,DUNGUN,23000,098331112,098331111
80,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1023,SK KAMPUNG SHUKOR,KAMPUNG SHUKOR,DUNGUN,23000,098331013,""
81,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1024,SK SANTONG,JALAN SANTONG,PAKA,23100,098490035,098490043
82,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1025,SK BATU 48,"JALAN HOSPITAL, KG. PAK SABAH",DUNGUN,23000,098481489,098481905
83,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1026,SK TOK KAH,"JALAN TOK KAH/JERANGAU, KG TOK KAH",DUNGUN,23000,098449511,098449512
84,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1027,SK DURIAN MENTANGAU,KAMPUNG DURIAN MENTANGAU,PAKA,23100,098491482,098490249
85,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1028,SK LINTANG,"KAMPUNG LINTANG, JERANGAU",DUNGUN,23000,098449811,098449810
86,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1029,SK (FELDA) KERTEH 1,KETENGAH JAYA,DUNGUN,23300,098204278,098203545
87,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1030,SK LADANG GAJAH MATI,"LADANG GAJAH MATI, BUKIT BESI",DUNGUN,23200,098490053,TIADA
88,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1031,SK KAMPUNG BARU KUALA ABANG,"KAMPUNG BARU, KUALA ABANG",DUNGUN,23050,098490016,098490030
89,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1032,SK SERDANG,KAMPUNG SERDANG,DUNGUN,23000,098422630,098422632
90,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1033,SK DURIAN MAS 2,BANDAR AL-MUKTAFI BILLAH SHAH,DUNGUN,23400,098223536,098223533
91,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1034,SK SERI PAKA,JALAN RAMABAI OFF JALAN SANTONG,PAKA,23100,098272686,098277644
92,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1035,SK BALAI BESAR,"KAMPUNG PAYA, BALAI BESAR",DUNGUN,23000,098453424,098423721
93,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1037,SK FELDA SERI RASAU,KETENGAH JAYA,DUNGUN,23300,098200354,098204300
94,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1038,SK LKTP JERANGAU,W/POS FELDA JERANGAU,AJIL,21820,098384575,098385676
95,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1039,SK TANJUNG PATI,KG. CHE LIJAH,DUNGUN,23000,098457342,098457342
96,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1040,SK PAKA II,PAKA,PAKA,23100,098286961,098286960
97,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1041,SK BATU 7,JALAN PAKA,DUNGUN,23000,098443522,098444962
98,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1042,SK KETENGAH JAYA II,KETENGAH JAYA,DUNGUN,23300,098204986,098202527
99,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1043,SK KOMPLEKS RANTAU ABANG,RHU BATIL KUALA ABANG,DUNGUN,23050,098422780,098422781
100,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1044,SK PAKA III,"JALAN PERUMAHAN TNB, PAKA",PAKA,23100,098271795,098277136
101,TERENGGANU,PPD DUNGUN,Kebangsaan,TBA1045,SK GONG PASIR,KAMPUNG GONG PASIR,DUNGUN,23000,098442475,098442488
102,TERENGGANU,PPD DUNGUN,Kebangsaan,TBB1030,SK SULTAN OMAR,JALAN SEKOLAH,DUNGUN,23000,098481368,098481367
103,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5001,SK KUALA BERANG,JALAN KUBUR,KUALA BERANG,21700,096811316,096811367
104,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5002,SK TELAGA,"KG. TELAGA, JALAN SUNGAI TONG",KUALA BERANG,21700,096811884,096817254
